"Income","Income Percentile","Income Tax with Bernie","Social Security Tax with Bernie","Medicare Tax with Bernie","Medicare-for-all Tax with Bernie","Family Leave Tax with Bernie","Healthcare Premiums with Bernie","Healthcare Expenses with Bernie","Total Tax with Bernie","Effective Tax Rate with Bernie","Income Tax at Present","Social Security Tax at Present","Medicare Tax at Present","Medicare-for-all Tax at Present","Family Leave Tax at Present","Healthcare Premiums at Present","Healthcare Expenses at Present","Total Tax at Present","Effective Tax Rate at Present"
320000,0.998124702774457,88935.25,19840,5720,7040,227.4,0,0,121762.65,0.38050828125,86467.25,7347,5720,0,0,1071,1318,101923.25,0.31851015625
322000,0.998161080288483,89704.85,19964,5767,7084,227.4,0,0,122747.25,0.381202639751553,87153.65,7347,5767,0,0,1071,1318,102656.65,0.318809472049689
324000,0.998197457802509,90474.45,20088,5814,7128,227.4,0,0,123731.85,0.381888425925926,87840.05,7347,5814,0,0,1071,1318,103390.05,0.319105092592593
326000,0.998233835316535,91244.05,20212,5861,7172,227.4,0,0,124716.45,0.382565797546012,88526.45,7347,5861,0,0,1071,1318,104123.45,0.319397085889571
328000,0.99827021283056,91984.05,20336,5908,7216,227.4,0,0,125671.45,0.383144664634146,89186.45,7347,5908,0,0,1071,1318,104830.45,0.319605030487805
330000,0.998306590344586,92753.65,20460,5955,7260,227.4,0,0,126656.05,0.383806212121212,89872.85,7347,5955,0,0,1071,1318,105563.85,0.319890454545455
332000,0.998342967858612,93523.25,20584,6002,7304,227.4,0,0,127640.65,0.384459789156626,90559.25,7347,6002,0,0,1071,1318,106297.25,0.320172439759036
334000,0.998379345372638,94292.85,20708,6049,7348,227.4,0,0,128625.25,0.385105538922156,91245.65,7347,6049,0,0,1071,1318,107030.65,0.320451047904192
336000,0.998415722886663,95062.45,20832,6096,7392,227.4,0,0,129609.85,0.385743601190476,91932.05,7347,6096,0,0,1071,1318,107764.05,0.320726339285714
338000,0.998452100400689,95802.45,20956,6143,7436,227.4,0,0,130564.85,0.386286538461538,92592.05,7347,6143,0,0,1071,1318,108471.05,0.320920266272189
340000,0.998488477914715,96572.05,21080,6190,7480,227.4,0,0,131549.45,0.386910147058824,93278.45,7347,6190,0,0,1071,1318,109204.45,0.321189558823529
342000,0.998524855428741,97341.65,21204,6237,7524,227.4,0,0,132534.05,0.387526461988304,93964.85,7347,6237,0,0,1071,1318,109937.85,0.321455701754386
344000,0.998561232942767,98111.25,21328,6284,7568,227.4,0,0,133518.65,0.388135610465116,94651.25,7347,6284,0,0,1071,1318,110671.25,0.32171875
346000,0.998597610456792,98880.85,21452,6331,7612,227.4,0,0,134503.25,0.388737716763006,95337.65,7347,6331,0,0,1071,1318,111404.65,0.321978757225434
348000,0.998633987970818,99620.85,21576,6378,7656,227.4,0,0,135458.25,0.389247844827586,95997.65,7347,6378,0,0,1071,1318,112111.65,0.322159913793103
350000,0.998670365484844,100390.45,21700,6425,7700,227.4,0,0,136442.85,0.389836714285714,96684.05,7347,6425,0,0,1071,1318,112845.05,0.322414428571429
352000,0.99870674299887,101160.05,21824,6472,7744,227.4,0,0,137427.45,0.390418892045455,97370.45,7347,6472,0,0,1071,1318,113578.45,0.322666051136364
354000,0.998743120512895,101929.65,21948,6519,7788,227.4,0,0,138412.05,0.390994491525424,98056.85,7347,6519,0,0,1071,1318,114311.85,0.322914830508475
356000,0.998779498026921,102699.25,22072,6566,7832,227.4,0,0,139396.65,0.391563623595506,98743.25,7347,6566,0,0,1071,1318,115045.25,0.323160814606742
358000,0.998815875540947,103439.25,22196,6613,7876,227.4,0,0,140351.65,0.392043715083799,99403.25,7347,6613,0,0,1071,1318,115752.25,0.32333030726257
360000,0.998852253054973,104208.85,22320,6660,7920,227.4,0,0,141336.25,0.392600694444444,100089.65,7347,6660,0,0,1071,1318,116485.65,0.32357125
362000,0.998888630568998,104978.45,22444,6707,7964,227.4,0,0,142320.85,0.393151519337017,100776.05,7347,6707,0,0,1071,1318,117219.05,0.32380953038674
364000,0.998925008083024,105748.05,22568,6754,8008,227.4,0,0,143305.45,0.393696291208791,101462.45,7347,6754,0,0,1071,1318,117952.45,0.324045192307692
366000,0.99896138559705,106517.65,22692,6801,8052,227.4,0,0,144290.05,0.394235109289618,102148.85,7347,6801,0,0,1071,1318,118685.85,0.324278278688525
368000,0.998997763111076,107257.65,22816,6848,8096,227.4,0,0,145245.05,0.394687635869565,102808.85,7347,6848,0,0,1071,1318,119392.85,0.324437092391304
370000,0.999034140625102,108027.25,22940,6895,8140,227.4,0,0,146229.65,0.39521527027027,103495.25,7347,6895,0,0,1071,1318,120126.25,0.324665540540541
372000,0.999070518139127,108796.85,23064,6942,8184,227.4,0,0,147214.25,0.395737231182796,104181.65,7347,6942,0,0,1071,1318,120859.65,0.324891532258065
374000,0.999106895653153,109566.45,23188,6989,8228,227.4,0,0,148198.85,0.396253609625668,104868.05,7347,6989,0,0,1071,1318,121593.05,0.325115106951872
376000,0.999143273167179,110336.05,23312,7036,8272,227.4,0,0,149183.45,0.396764494680851,105554.45,7347,7036,0,0,1071,1318,122326.45,0.325336303191489
378000,0.999179650681205,111076.05,23436,7083,8316,227.4,0,0,150138.45,0.397191666666667,106214.45,7347,7083,0,0,1071,1318,123033.45,0.325485317460318
380000,0.99921602819523,111845.65,23560,7130,8360,227.4,0,0,151123.05,0.397692236842105,106900.85,7347,7130,0,0,1071,1318,123766.85,0.325702236842105
382000,0.999252405709256,112615.25,23684,7177,8404,227.4,0,0,152107.65,0.398187565445026,107587.25,7347,7177,0,0,1071,1318,124500.25,0.325916884816754
384000,0.999288783223282,113355.25,23808,7224,8448,227.4,0,0,153062.65,0.398600651041667,108247.25,7347,7224,0,0,1071,1318,125207.25,0.326060546875
386000,0.999325160737308,114095.25,23932,7271,8492,227.4,0,0,154017.65,0.399009455958549,108907.25,7347,7271,0,0,1071,1318,125914.25,0.326202720207254
388000,0.999361538251334,114835.25,24056,7318,8536,227.4,0,0,154972.65,0.399414046391753,109567.25,7347,7318,0,0,1071,1318,126621.25,0.326343427835052
390000,0.999397915765359,115575.25,24180,7365,8580,227.4,0,0,155927.65,0.399814487179487,110227.25,7347,7365,0,0,1071,1318,127328.25,0.326482692307692
392000,0.999434293279385,116315.25,24304,7412,8624,227.4,0,0,156882.65,0.400210841836735,110887.25,7347,7412,0,0,1071,1318,128035.25,0.326620535714286
394000,0.999470670793411,117055.25,24428,7459,8668,227.4,0,0,157837.65,0.400603172588832,111547.25,7347,7459,0,0,1071,1318,128742.25,0.326756979695431
396000,0.999507048307437,117795.25,24552,7506,8712,227.4,0,0,158792.65,0.40099154040404,112207.25,7347,7506,0,0,1071,1318,129449.25,0.326892045454545
398000,0.999543425821462,118535.25,24676,7553,8756,227.4,0,0,159747.65,0.401376005025126,112867.25,7347,7553,0,0,1071,1318,130156.25,0.327025753768844
4e+05,0.999579803335488,119275.25,24800,7600,8800,227.4,0,0,160702.65,0.401756625,113527.25,7347,7600,0,0,1071,1318,130863.25,0.327158125
402000,0.999616180849514,120015.25,24924,7647,8844,227.4,0,0,161657.65,0.402133457711443,114187.25,7347,7647,0,0,1071,1318,131570.25,0.327289179104478
