"Income","Income Percentile","Income Tax with Bernie","Social Security Tax with Bernie","Medicare Tax with Bernie","Medicare-for-all Tax with Bernie","Family Leave Tax with Bernie","Healthcare Premiums with Bernie","Healthcare Expenses with Bernie","Total Tax with Bernie","Effective Tax Rate with Bernie","Income Tax at Present","Social Security Tax at Present","Medicare Tax at Present","Medicare-for-all Tax at Present","Family Leave Tax at Present","Healthcare Premiums at Present","Healthcare Expenses at Present","Total Tax at Present","Effective Tax Rate at Present"
70000,0.91133538976348,10718.75,4340,1015,1540,140,0,0,17753.75,0.253625,10718.75,4340,1015,0,0,1071,1318,18462.75,0.263753571428571
72000,0.9187945121302,11218.75,4464,1044,1584,144,0,0,18454.75,0.256315972222222,11218.75,4464,1044,0,0,1071,1318,19115.75,0.265496527777778
74000,0.923002552285345,11718.75,4588,1073,1628,148,0,0,19155.75,0.258861486486486,11718.75,4588,1073,0,0,1071,1318,19768.75,0.26714527027027
76000,0.927819815955586,12218.75,4712,1102,1672,152,0,0,19856.75,0.261273026315789,12218.75,4712,1102,0,0,1071,1318,20421.75,0.268707236842105
78000,0.933234022359115,12718.75,4836,1131,1716,156,0,0,20557.75,0.263560897435897,12718.75,4836,1131,0,0,1071,1318,21074.75,0.270189102564103
80000,0.935389310213704,13218.75,4960,1160,1760,160,0,0,21258.75,0.265734375,13218.75,4960,1160,0,0,1071,1318,21727.75,0.271596875
82000,0.940566890257814,13718.75,5084,1189,1804,164,0,0,21959.75,0.267801829268293,13718.75,5084,1189,0,0,1071,1318,22380.75,0.272935975609756
84000,0.943580126245342,14218.75,5208,1218,1848,168,0,0,22660.75,0.269770833333333,14218.75,5208,1218,0,0,1071,1318,23033.75,0.27421130952381
86000,0.946446315309149,14718.75,5332,1247,1892,172,0,0,23361.75,0.271648255813953,14718.75,5332,1247,0,0,1071,1318,23686.75,0.275427325581395
88000,0.949484532664081,15218.75,5456,1276,1936,176,0,0,24062.75,0.273440340909091,15218.75,5456,1276,0,0,1071,1318,24339.75,0.276588068181818
90000,0.951328587725302,15718.75,5580,1305,1980,180,0,0,24763.75,0.275152777777778,15718.75,5580,1305,0,0,1071,1318,24992.75,0.277697222222222
92000,0.954309803026846,16218.75,5704,1334,2024,184,0,0,25464.75,0.276790760869565,16218.75,5704,1334,0,0,1071,1318,25645.75,0.278758152173913
94000,0.956131222146171,16718.75,5828,1363,2068,188,0,0,26165.75,0.278359042553191,16718.75,5828,1363,0,0,1071,1318,26298.75,0.279773936170213
96000,0.957929439501103,17218.75,5952,1392,2112,192,0,0,26866.75,0.279861979166667,17218.75,5952,1392,0,0,1071,1318,26951.75,0.280747395833333
98000,0.959929272187999,17718.75,6076,1421,2156,196,0,0,27567.75,0.281303571428571,17718.75,6076,1421,0,0,1071,1318,27604.75,0.28168112244898
1e+05,0.96145006738155,18218.75,6200,1450,2200,200,0,0,28268.75,0.2826875,18218.75,6200,1450,0,0,1071,1318,28257.75,0.2825775
102000,0.962505052551525,18747.25,6324,1479,2244,204,0,0,28998.25,0.284296568627451,18747.25,6324,1479,0,0,1071,1318,28939.25,0.283718137254902
104000,0.9635600377215,19307.25,6448,1508,2288,208,0,0,29759.25,0.286146634615385,19307.25,6448,1508,0,0,1071,1318,29652.25,0.285117788461538
106000,0.964615022891475,19867.25,6572,1537,2332,212,0,0,30520.25,0.287926886792453,19867.25,6572,1537,0,0,1071,1318,30365.25,0.286464622641509
108000,0.96567000806145,20427.25,6696,1566,2376,216,0,0,31281.25,0.289641203703704,20427.25,6696,1566,0,0,1071,1318,31078.25,0.287761574074074
110000,0.966724993231424,20987.25,6820,1595,2420,220,0,0,32042.25,0.291293181818182,20987.25,6820,1595,0,0,1071,1318,31791.25,0.289011363636364
112000,0.967779978401399,21547.25,6944,1624,2464,224,0,0,32803.25,0.292886160714286,21547.25,6944,1624,0,0,1071,1318,32504.25,0.290216517857143
114000,0.968834963571374,22107.25,7068,1653,2508,227.4,0,0,33563.65,0.29441798245614,22107.25,7068,1653,0,0,1071,1318,33217.25,0.291379385964912
116000,0.969889948741349,22667.25,7192,1682,2552,227.4,0,0,34320.65,0.295867672413793,22667.25,7192,1682,0,0,1071,1318,33930.25,0.292502155172414
118000,0.970944933911324,23227.25,7316,1711,2596,227.4,0,0,35077.65,0.297268220338983,23227.25,7316,1711,0,0,1071,1318,34643.25,0.29358686440678
120000,0.971999919081299,23787.25,7347,1740,2640,227.4,0,0,35741.65,0.297847083333333,23787.25,7347,1740,0,0,1071,1318,35263.25,0.293860416666667
122000,0.973054904251274,24347.25,7347,1769,2684,227.4,0,0,36374.65,0.298152868852459,24347.25,7347,1769,0,0,1071,1318,35852.25,0.293870901639344
124000,0.974109889421249,24907.25,7347,1798,2728,227.4,0,0,37007.65,0.298448790322581,24907.25,7347,1798,0,0,1071,1318,36441.25,0.293881048387097
126000,0.975164874591224,25467.25,7347,1827,2772,227.4,0,0,37640.65,0.298735317460317,25467.25,7347,1827,0,0,1071,1318,37030.25,0.293890873015873
128000,0.976219859761199,26027.25,7347,1856,2816,227.4,0,0,38273.65,0.299012890625,26027.25,7347,1856,0,0,1071,1318,37619.25,0.293900390625
130000,0.977274844931173,26587.25,7347,1885,2860,227.4,0,0,38906.65,0.299281923076923,26587.25,7347,1885,0,0,1071,1318,38208.25,0.293909615384615
132000,0.978329830101148,27147.25,7347,1914,2904,227.4,0,0,39539.65,0.299542803030303,27147.25,7347,1914,0,0,1071,1318,38797.25,0.293918560606061
134000,0.979384815271123,27707.25,7347,1943,2948,227.4,0,0,40172.65,0.299795895522388,27707.25,7347,1943,0,0,1071,1318,39386.25,0.29392723880597
136000,0.980439800441098,28267.25,7347,1972,2992,227.4,0,0,40805.65,0.300041544117647,28267.25,7347,1972,0,0,1071,1318,39975.25,0.293935661764706
138000,0.981494785611073,28827.25,7347,2001,3036,227.4,0,0,41438.65,0.300280072463768,28827.25,7347,2001,0,0,1071,1318,40564.25,0.29394384057971
140000,0.982549770781048,29387.25,7347,2030,3080,227.4,0,0,42071.65,0.300511785714286,29387.25,7347,2030,0,0,1071,1318,41153.25,0.293951785714286
142000,0.983604755951023,29947.25,7347,2059,3124,227.4,0,0,42704.65,0.300736971830986,29947.25,7347,2059,0,0,1071,1318,41742.25,0.293959507042254
144000,0.984659741120998,30507.25,7347,2088,3168,227.4,0,0,43337.65,0.300955902777778,30507.25,7347,2088,0,0,1071,1318,42331.25,0.293967013888889
146000,0.985714726290973,31067.25,7347,2117,3212,227.4,0,0,43970.65,0.301168835616438,31067.25,7347,2117,0,0,1071,1318,42920.25,0.293974315068493
148000,0.986769711460948,31627.25,7347,2146,3256,227.4,0,0,44603.65,0.301376013513514,31627.25,7347,2146,0,0,1071,1318,43509.25,0.293981418918919
150000,0.987824298425736,32187.25,7347,2175,3300,227.4,0,0,45236.65,0.301577666666667,32187.25,7347,2175,0,0,1071,1318,44098.25,0.293988333333333
152000,0.988082873222298,32747.25,7347,2204,3344,227.4,0,0,45869.65,0.301774013157895,32747.25,7347,2204,0,0,1071,1318,44687.25,0.293995065789474
154000,0.988341448018861,33307.25,7347,2233,3388,227.4,0,0,46502.65,0.30196525974026,33307.25,7347,2233,0,0,1071,1318,45276.25,0.294001623376623
156000,0.988600022815423,33867.25,7347,2262,3432,227.4,0,0,47135.65,0.302151602564103,33867.25,7347,2262,0,0,1071,1318,45865.25,0.294008012820513
158000,0.988858597611986,34427.25,7347,2291,3476,227.4,0,0,47768.65,0.302333227848101,34427.25,7347,2291,0,0,1071,1318,46454.25,0.294014240506329
160000,0.989117172408548,34987.25,7347,2320,3520,227.4,0,0,48401.65,0.3025103125,34987.25,7347,2320,0,0,1071,1318,47043.25,0.2940203125
162000,0.989375747205111,35547.25,7347,2349,3564,227.4,0,0,49034.65,0.302683024691358,35547.25,7347,2349,0,0,1071,1318,47632.25,0.294026234567901
164000,0.989634322001673,36107.25,7347,2378,3608,227.4,0,0,49667.65,0.302851524390244,36107.25,7347,2378,0,0,1071,1318,48221.25,0.294032012195122
166000,0.989892896798236,36667.25,7347,2407,3652,227.4,0,0,50300.65,0.303015963855422,36667.25,7347,2407,0,0,1071,1318,48810.25,0.29403765060241
168000,0.990151471594798,37227.25,7347,2436,3696,227.4,0,0,50933.65,0.303176488095238,37227.25,7347,2436,0,0,1071,1318,49399.25,0.294043154761905
